2025-07-27/12:34:29.118/GMT-07:00  INFO LightStatusIndicatorController:[http-bio-8080-exec-19] - Setting IN_USE Indicator

2025-07-27/12:34:29.118/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-19] - Switching off color: GREEN

2025-07-27/12:34:29.118/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-19] - Switching status light color to: YELLOW

2025-07-27/12:36:27.115/GMT-07:00  INFO LightStatusIndicatorController:[http-bio-8080-exec-8] - Setting OK Indicator

2025-07-27/12:36:27.116/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-8] - Switching off color: YELLOW

2025-07-27/12:36:27.116/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-8] - Switching status light color to: GREEN

2025-07-27/12:37:35.818/GMT-07:00  INFO LightStatusIndicatorController:[http-bio-8080-exec-8] - Setting IN_USE Indicator

2025-07-27/12:37:35.818/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-8] - Switching off color: GREEN

2025-07-27/12:37:35.818/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-8] - Switching status light color to: YELLOW

2025-07-27/12:38:30.155/GMT-07:00  INFO LightStatusIndicatorController:[http-bio-8080-exec-21] - Setting OK Indicator

2025-07-27/12:38:30.156/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-21] - Switching off color: YELLOW

2025-07-27/12:38:30.156/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-21] - Switching status light color to: GREEN

2025-07-27/13:05:57.388/GMT-07:00  INFO LightStatusIndicatorController:[http-bio-8080-exec-21] - Setting IN_USE Indicator

2025-07-27/13:05:57.388/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-21] - Switching off color: GREEN

2025-07-27/13:05:57.388/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-21] - Switching status light color to: YELLOW

2025-07-27/13:07:27.866/GMT-07:00  INFO LightStatusIndicatorController:[http-bio-8080-exec-8] - Setting OK Indicator

2025-07-27/13:07:27.866/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-8] - Switching off color: YELLOW

2025-07-27/13:07:27.867/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-8] - Switching status light color to: GREEN

2025-07-27/13:50:15.992/GMT-07:00  INFO LightStatusIndicatorController:[http-bio-8080-exec-7] - Setting IN_USE Indicator

2025-07-27/13:50:15.992/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-7] - Switching off color: GREEN

2025-07-27/13:50:15.992/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-7] - Switching status light color to: YELLOW

2025-07-27/13:51:25.244/GMT-07:00  INFO LightStatusIndicatorController:[http-bio-8080-exec-7] - Setting OK Indicator

2025-07-27/13:51:25.244/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-7] - Switching off color: YELLOW

2025-07-27/13:51:25.244/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-7] - Switching status light color to: GREEN

2025-07-27/13:55:24.334/GMT-07:00  INFO LightStatusIndicatorController:[http-bio-8080-exec-15] - Setting IN_USE Indicator

2025-07-27/13:55:24.335/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-15] - Switching off color: GREEN

2025-07-27/13:55:24.336/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-15] - Switching status light color to: YELLOW

2025-07-27/13:58:34.505/GMT-07:00  INFO LightStatusIndicatorController:[http-bio-8080-exec-18] - Setting OK Indicator

2025-07-27/13:58:34.505/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-18] - Switching off color: YELLOW

2025-07-27/13:58:34.505/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-18] - Switching status light color to: GREEN

2025-07-27/14:35:01.688/GMT-07:00  INFO LightStatusIndicatorController:[http-bio-8080-exec-10] - Setting IN_USE Indicator

2025-07-27/14:35:01.688/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-10] - Switching off color: GREEN

2025-07-27/14:35:01.688/GMT-07:00  INFO JposStatusLightIndicator:[http-bio-8080-exec-10] - Switching status light color to: YELLOW

